Dream_Description,Interpretation
Exception to General Rule,"We say usually because there may be an exception to what we have mentioned. A man may see something in his dream and then see the exact same thing in reality. One of the Companions saw in his dream Thaabit ibn Shammaas, who had been killed in the war with Musaylimah. Thaabit said to him: I will give you my will and last requests; beware of saying that this is just a dream and neglecting it. When I was killed yesterday, a Muslim man came past me and took my shield. His tent is on the furthest edge of the camp, and there is a horse next to his tent. He has thrown a pot over the shield, and on top of the pot he has put a saddle. Go to Khaalid ibn Al-Waleed and tell him to send someone to take my shield, then when you reach Madeenah, go to the caliph of the Messenger of Allah (Peace be upon him) and tell him that I owe such and such to so-and-so, and that so-and-so among my slaves are free. The man went to Khaalid and told him about that, and he sent someone to bring the shield to him. Then he told Abu Bakr (May Allah be pleased with him) about the dream, and he approved of ThaabitÃ¢ÂÂs will after his death. It is not known that any manÃ¢ÂÂs will was approved after his death except the will of Thaabit."
Types of Dreams - Sound vs Meaningless,"Dreams may be classified on the basis of five criteria: A. Whether they are sound or meaningless. 1. Sound dreams are those in which things are seen as they are seen when one is awake. 2. Meaningless dreams are those which stem from one of five things: Self-talk, Habits, Fear, Imagination and envisaging things, When one of the humours predominates."
Self-talk,"Self-talk: which results in seeing themes that are meaningless, i.e., what a person thinks about to himself, because when a person is thinking to himself about something, that thing appears in his imagination, especially when the thing is dear to the Nafs. So when he goes to sleep, his imagination envisages it, then his memory stores it and that image reaches the Nafs when the veil of sleeping is lifted."
Habbits,"Habits, which result in a person seeing himself doing what he usually does. So a Muezzin sees himself giving the Adhaan, a reader sees himself reading, and a person who usually rides horses sees himself riding a horse and so on. This is not of any significance. But if he sees himself doing an action that is lower or better than his usual action, such as if he usually rides an old nag and he sees himself riding a fine steed, or vice versa, and the like, then this is significant and may be interpreted."
Fear,"Fear, which results in a man seeing something that indicates that a thing feared by people may happen. This is of no significance."
Imagination and Envisaging Things,"Imagination and envisaging things. If there is something in the dream that he imagined or envisaged, it is of no significance, such as if a man says, I saw myself riding the mule of Ã¢ÂÂAbd Al-Haqq ibn Sulaymaan, and it was as if I were between darkness and light. I said: Did you imagine yourself riding? He said: Yes. I said: You want what he has, and this dream is of no significance."
Predominance of Humours,"When one of the humours predominates, such as if the blood predominates, a person will see (in his dream) things that bring joy and entertainment; if yellow bile predominates, he will see yellow things, fire and smoke; if phlegm predominates, he will see rain and snow; if black bile predominates, he will see black things. This is of no significance."
Interpretation of Corrupt Dreams,"Shihaab ibn NiÃ¢ÂÂmah said: If he sees along with something corrupt a thing that is not corrupt, then disregard the corrupt thing and interpret the rest."
Types of Dreams - Good or Evil,"3. Whether they are good or evil: a) That which is indicative of good both explicitly and implicitly, such as drinking milk or wearing fine clothes in the case of one for whom it is appropriate to wear them. This is good as it appears to be, and it may be understood as referring implicitly to provision and benefits. b) The opposite of that, such as burning with fire, drinking poison or being bitten by a snake. This indicates harm from an enemy both explicitly and implicitly. c) That which appears outwardly to be bad, but in fact implies something good, such as death and being carried on the bier and crucifixion, unless the position is reversed or the Ã¢ÂÂAwrah is uncovered. This implies a rise in status, although it is outwardly bad. d) That which is apparently good but implies something bad. Shihaab ibn NiÃ¢ÂÂmah said: Such as smelling a flower, if the person says Ã¢ÂÂahÃ¢ÂÂ after smelling it, which is a word that is usually said at times of hardship. Other scholars disagreed with that, which will be discussed below. Arees said: I dreamt that I was smelling rosewater, and I said this is a calamity that will result from a white animal. He had a white mare which died, and he was distressed as a result. The correct view in my opinion is that smelling fragrances is indicative of joy and happiness which will be followed by some distress or hardship, because Shihaab ibn NiÃ¢ÂÂmah said: Thus we may reconcile both views."
Types of Dreams - Closeness or Distance,"4. Whether they show a thing as being near or far. a) Indications of closeness, which is a sign of calamity or distress. By His grace, Allah does not combine two kinds of distress for His slave: the distress of expecting calamity and distress when it occurs. If a man sees (in his dream) something that may cause distress, then ask him: if it has already happened then it may be interpreted as such, otherwise it means that it is close at hand. Similarly, what indicates something good, if it is seen during the day, then it most likely indicates that it is going to materialize soon, and that also applies if something appears in the dream that indicates that it is going to be soon, such as the dream of the servant (who was in prison with Yoosuf (May Allah be pleased with him): because he saw himself in a garden, at the bottom of a strong grapevine that had three branches on which there were three bunches of grapes, and he saw himself collecting them and squeezing them into the cup of the King and giving it to him to drink. Yoosuf (May Allah be pleased with him) said: As for being at the bottom of the grapevine, that is a good sign and indicates that you will come out of prison after three and will go back as you were. So he regarded the three branches as a sign of closeness or that this event was going to happen soon. b) Indication that something is far off and it is impossible for it to happen soon, such as the dream of Abu Bakr which told of power and authority, because the means of power and authority were not available at that time. c) Indication that something is coming soon or that is far off, and that is something other than this. It may be said that if one goes to sleep at the beginning of the night and sees a dream, it is going to happen later, and if it is seen nearer to morning, then it is going to happen soon, and if it is seen in the middle of the night then it is in between being close at hand and far off. What I have experienced is different from that; a dream may be seen at the beginning of the night and materializes the next morning, or it may be seen at the end of the night and take a long time to materialize."
Types of Dreams - Earning a Livelihood,"5. With regard to how easy or difficult it is to earn a livelihood. a) That in which provision is easy at the beginning and at the end, such as drinking milk or honey, or eating butter and loaves of bread and so on. b) That which is difficult at the beginning and at the end, and easy in the middle, such as the citron which has a skin that has a sharp taste, then in the middle is the pulp, which is sweet, then the last part is worthless. The same applies to the pomegranate: the skin is tough, in the middle is the pulp which is sweet, and the end is hard. Shaykh Shihaab-ud-Deen noted this meaning when he interpreted the dream for a man who dreamt that he had a bone in which there was marrow and on which there was meat, and he was eating that meat and marrow. He told him: At the beginning of your life you will be rich, then you will become poor, then you will become rich again, because the meat is wealth and the marrow is wealth, and the bone, on which there is nothing, is in the middle and comes in between them. And it turned out as he said. c) That which is difficult in the beginning and easy at the end, like almonds; at the beginning there is the shell which represents hardship, or it may refer to some income, the means of acquiring which starts with a dispute, because the shell makes a sound when you break it, and the centre of the almond is at the end. d) That which is the opposite of that, such as dates and raisins, because the beginning thereof is the pulp and the end is the pit or hard seed. Shaykh Shihaab-ud-Deen said: Rather apricots and peaches are indicative of hardship, because they contain a pit and the eater is worried about it lest it damage his teeth."
"Types of Dreams - One Dream, Many Meanings","6. With regard to cases where various dreams mean one thing or one dream has various meanings. It should be noted that dreams may vary but have one meaning, or there may be the same dream but it has different meanings. An example of the first is where the judge sees in a dream that his mule dies, or he loses his pen, or his ink pot is broken or lost, or he loses his ring or chair, or he sees himself separating from his wife, or his shoes get damaged or he sells them or they wear out totally or partially. All of that indicates that he will be dismissed. Similarly, if one person sees the sun eclipsed, and another sees the ocean dry up, and another sees a great mountain collapse, and another sees a great river disappearing into the earth: all of that is indicative of one thing, which is the death of a great man, whether he is one of the righteous, a scholar, or a ruler."
"Types of Dreams - One Thing, Many Meanings","With regard to one thing meaning many things, there are five causes of that: a) Differences in language, as in the case of the Safarjal or quince. In the Persian language the word Safarjal means glory, so if a Persian or someone who knows their language sees it in his dream, in his case it refers to glory and pride. For the Arabs and those who know their language, Safarjal means a bone, and is indicative of travelling for Jihad or Hajj. If you misspell or mispronounce it, so that the Jeem becomes haÃ¢ÂÂ, then you are saying Safar Hall, which means it is time to travel. So if you say I saw a Safarjal, this is indicative of travel (Safar) and departure (JalaÃ¢ÂÂ). This is supported by the words of the poet: b) Do not give a Safarjal to the one you love, for the beginning of it is Safar (travel) and the end of it is departure (Jala). c) In my view, for the one who is distressed it signals relief because it may be mispronounced to say Baththun Yufraj (distress will be relieved). d) Differences of religion, such as eating dead meat or drinking alcohol. For the one who believes them to be Haraam, (seeing them in a dream) means that he will get Haraam wealth, otherwise it will be permissible wealth. e) Differences in customs, such as taking off oneÃ¢ÂÂs clothes. If that is done in the bath, it represents something good and relief from distress, because it is the normal thing to do; but (if a person sees himself in his dream) taking off his clothes in front of a gathering of people, this is indicative of a bad reputation, especially if he is exposing the Ã¢ÂÂAwrah. The same applies to shaving the beard; it represents something good for those who prefer that, such as the Christians and the Qarandaliyyah, and for those who adorn themselves to attract women and the one who prefers an easy life. Similarly wearing silk and gold for the one for whom it is suitable is indicative of something good and coming closer to the prominent people. If a deceased person is seen with silk and gold, then that indicates that he is in a good state. f) Differences in season, such as seeing oneself in a dream getting close to the fire for warmth, seeking the warmth of the sun, wearing fur or using hot water in the winter; this is good and is indicative of recovery for one who is sick because of the cold. But in the summer it is indicative of distress and misfortune and of lengthy sickness for one who is sick because of heat. Similarly a tree is a good sign at times of ease, and the shade of a tree is also a good sign at times when it is hot, but it is indicative of distress and little benefit at times of hardship. g) Differences between people. Carrying a weapon (in the dream) for an off-duty soldier means that he will be called to service, for the fighter it is indicative of victory, for the worshipper it is a signal that he will give up his worship, for the student it is a sign that he will give up his study, and for others it is a warning of a bad deal with their opponents. Wearing a fine white garment (in a dream) is good for Fuqaha and the righteous, as it is indicative of a rise in status, a good attitude and a good life. But for butchers and herders it is a bad thing, as it indicates that they will lose their livelihood because they wear that when they are not working; but wearing dirty clothing is a good sign for them, because it is indicative of how they earn their livelihood, whereas for the Fuqaha and the righteous it is a bad thing. Riding a mule (in a dream) for the Faqeeh indicates that he will be appointed to some position; for the one who wants to get married it indicates that he will find a wife; for the cook and those in similar professions, it is indicative of a bad reputation. For a king, a pomegranate indicates a city; for the Faqeeh it indicates appointment to some position; for the provision seeker it indicates provision; for the one who is single it indicates a spouse; for the traveller it indicates capital, and it indicates the same for the one who wants to buy a house. Rain (in a dream) represents provision and plenty of it, but it indicates a lack of provision for the fuller; the opposite is the case with regard to the sun. Eating sweets (in a dream) represents provision for the healthy and recovery for the sick whose sickness is due to cold, whereas for those whose sickness is due to heat it indicates that their sickness will last for a long time; sour things represent the opposite of that."
Prophet (Peace be upon him) saw people wearing garments of varying lengths,Ã¢ÂÂUmar ibn Al-KhattaabÃ¢ÂÂs dragging garment was interpreted as religious commitment.
Abu Bakr (May Allah be pleased with him) saw two brand marks on his chest,The Prophet (Peace be upon him) interpreted this as Abu Bakr being in charge of the people for two years.
Ibn Ã¢ÂÂUmar (May Allah be pleased with him) saw himself eating dates,The Prophet (Peace be upon him) interpreted this as the sweetness of faith.
A man saw a green meadow with food and a Minbar with seven steps,"The green meadow represented Paradise, the food represented Islam, and the Minbar with seven steps represented the seven thousand years of this world; the call to food represented calling people to Paradise."
Abu Bakr (May Allah be pleased with him) saw a bitch waving her tail and falling on her back dripping with milk,The Prophet (Peace be upon him) interpreted this as the end of hostility and a call for reconciliation; it also meant not to kill Abu Sufyaan ibn Harb.
"A man saw acquiring twenty-four Dinars and losing them, finding only four",The Prophet (Peace be upon him) interpreted this as the man forsaking the congregation and praying alone.
The Prophet (Peace be upon him) saw two bangles of gold on his arm,"The bangles were interpreted as two liars who would emerge after him, namely Al-Ã¢ÂÂAnsi and Musaylimah."
Ã¢ÂÂAbd-Allah ibn Salaam saw holding on to a handhold of gold,The Prophet (Peace be upon him) interpreted this as the man dying in a state of fitrah (natural faith).
The Prophet (Peace be upon him) saw black sheep followed by yellow sheep,"The black sheep were interpreted as the Arabs, and the yellow sheep as the non-Arabs who would follow him."
The Prophet (Peace be upon him) saw himself in the house of Abu RaafiÃ¢ÂÂ and dates were served,"The dates were interpreted as high status in this world, a good ending in the Hereafter, and that the religion is perfected."
The Prophet (Peace be upon him) saw himself drawing water for black sheep,"He interpreted this as Abu Bakr drawing water with some weakness, and Ã¢ÂÂUmar drawing water proficiently."
The Prophet (Peace be upon him) saw Abu Jahl swearing allegiance,"This was interpreted as a sign that the dream may refer to someone other than the one seen, such as Ã¢ÂÂIkrimah becoming a Muslim."
"When the Prophet (Peace be upon him) was in Al-TaaÃ¢ÂÂif, he saw a vessel of milk that fell and spilled",This was interpreted as receiving no benefit from Al-TaaÃ¢ÂÂif that year.
The Prophet (Peace be upon him) saw a black woman with unkempt hair moving from Madeenah to Al-Juhfah,This was interpreted as an epidemic moving from Madeenah to Al-Juhfah.
"Abu Bakr (May Allah be pleased with him) saw himself wearing two striped cloaks and two patches of vellum, entering peopleÃ¢ÂÂs toilets","The cloaks were interpreted as two sons he would look after, the patches as two years of leadership, and entering toilets as referring to disputes and answers he would receive from people."
Umm Fadl saw part of her body cut off and placed in her lap,"This was interpreted as Faatimah giving birth to Al-Husayn (May Allah be pleased with him), who would be placed in her lap."
A NakhaÃ¢ÂÂi man saw a female donkey at home giving birth to a reddish black foal with squinting eyes,"The Prophet (Peace be upon him) interpreted this as the manÃ¢ÂÂs slave woman giving birth to a son with a condition he was concealing, leprosy."
"Etiquette for the dreamer includes not telling the dream to those who may envy, the ignorant, the sick, children, or women",Dreams should not be told to those who might misinterpret them or who lack understanding. The Prophet (Peace be upon him) advised telling the dream to a knowledgeable interpreter.
"Dreams should be told as seen, without additions or subtractions","Those who lie about their dreams will face consequences, as stated in Hadith."
The dream should be shared in secret as seen in secret,It is advised to tell the dream privately and accurately.
"Dreams are best told at the beginning of the month, and not after 'Asr or at night","Different scholars have varied practices, but some believe that the timing affects the interpretation."
"For the interpreter: He should say, 'I think it is good,' and offer a prayer for the dreamer",The Prophet (Peace be upon him) would pray for the dreamer and interpret positively.
"The interpreter should interpret in the best way, as the dream will materialize as interpreted",The interpretation should be hopeful and positive.
The interpreter should listen carefully and give a considered response,Taking time in interpretation helps in providing accurate results.
The interpreter should not withhold interpretation from the dreamer,Full transparency is important in the interpretation process.
The interpreter should hear the dream directly from the dreamer to avoid changes in wording,Direct communication ensures accurate understanding and interpretation.
"If the dream indicates good, the interpreter should give glad tidings first; if bad, he should explain it optimistically",The interpreter should handle sensitive interpretations carefully and focus on the most likely outcome.
A dream of Yoosuf (May Allah be pleased with him) coming to Tunis on a man's ship,"Interpreted as possibly relating to the ruler of Constantine, due to similarities in the noble descent, lineage, and appearance."
A dream of a female donkey giving birth to a reddish black foal with squinting eyes,Interpreted as a slave woman giving birth to a child with a concealed condition (leprosy).
"A dream of a coffin with girls of different colors, ending with a red girl playing a fiddle","Interpreted as indicating a problem with blood, as the red girl represents blood."
A dream of becoming a midwife and attending twelve women giving birth,Interpreted as a sign of conquering twelve fortresses belonging to the Christians.
A dream of stealing night and day and selling them,"Interpreted as stealing and selling a chessboard, reflecting the black and white nature of chess."
"A dream of buying Jibreel (May Allah be pleased with him) and putting him in a cage, then a cat eating him","Interpreted as buying a hoopoe and putting it in a cage, reflecting the hoopoe's role as a messenger like Jibreel."
A dream of conquering a Christian fortress and being told it was due to tending children born out of wedlock,Interpreted as being a midwife tending to children born as a result of Zina (fornication).
A dream of turning into Dawood (May Allah be pleased with him),"Interpreted as starting to do tattooing, as tattooing tools resemble chainmail."
A dream of having a vessel of dates with scissors on it,"Interpreted as a sign not to travel, as the scissors resemble the word 'no' and are placed on the dates (Tamr), indicating 'do not pass.'"
"A dream of a hunchback dancing with a rose in his hand, saying, 'A rose, a rose and half a rose'",Interpreted as a ship arriving after one hundred days. The hunchback's hump represents the ship's high point and the roses represent time passing (40 days each for two roses and 20 days for half a rose).
"A dream of a hunchback dancing with a rose in his hand, seen in reference to a king going to fight",Interpreted as the king being defeated in one hundred days and never recovering as the hunchbackÃ¢ÂÂs broken back symbolizes the king's defeat.
A dream of the Prophet (Peace be upon him) having died,Interpreted as the death of a judge  which was confirmed by the death of the Faqeeh Abu 'Abd-Allah ibn Ya'qoob.
A dream of being put in charge of a store of ghee and honey,Interpreted as becoming a judge of marriage matters with ghee representing provision and honey representing marriage.
"A dream of a common folk leading prayer in Tunis, with reference to a specific Faqeeh",Interpreted as the specific Faqeeh becoming the Qaadi which turned out to be true.
A dream of larger and smaller candelabras falling and breaking,Interpreted as the death of the Shaykh of the Fuqaha' and the ineffective role of his deputy which happened as interpreted.
A dream of a Jinni possessing the dreamer,Interpreted as falling sick due to cold weather as shivering from cold is likened to shivering from possession.
A dream of Moosa (May Allah be pleased with him) being behind a Jew,Interpreted as forgetting part of the Torah and changing religion which led to the Jew becoming a Muslim.
A dream of eating ten pages of the Torah,Interpreted as swearing falsely by the Ten Commandments due to necessity which was confirmed to be true.
A dream of a palm tree with fresh dates and black grapes,Interpreted as having a black slave and becoming pregnant by him as the palm tree represents a man and the black grapes represent the pleasure from the slave.
A dream of eating pomegranates from a tree and seeing pomegranates on the skin of a pig,Interpreted as having a wife with a proper marriage and a Christian woman without marriage indicating a forbidden relationship and pregnancy.
A dream of a palm tree with seven small palm trees and ripe dates,Interpreted as being blessed with seven sons each of whom will marry and have children.
A dream of a tailor making and stitching a cap on the dreamer's head causing pain,Interpreted as a marriage contract causing suffering and a desire to end it. The cap represents the woman the tailor represents the person who made the marriage contract and the stitching represents the binding nature of the contract.
A dream of a king building a high place for the dreamer with no window,Interpreted as being appointed to a position beyond one's capabilities as the high place represents the elevated but inaccessible position.
A dream of a window vanishing,Interpreted as the sail of a boat disappearing since both the window and the sail catch the wind.
A dream of a restroom blocked with a watermelon,Interpreted as having a boil on the backside preventing defecation with the watermelon likened to the boil because of its skin and water content.
A dream of washing in a bathhouse with a star falling on the head and cutting it,Interpreted as a vessel in the bathhouse falling on the head as the vessel is likened to the star due to its round shiny appearance.
Tailor making and stitching a cap on the dreamer's head causing pain,"Represents a marriage contract causing suffering and a desire to end it. The cap symbolizes the woman, the tailor represents the person who made the marriage contract, and the stitching represents the binding nature of the contract."
King building a high place for the dreamer with no window,"Signifies being appointed to a position beyond one's capabilities, as the high place symbolizes an elevated but inaccessible position."
Window vanishing,"Interpreted as the sail of a boat disappearing, since both the window and the sail catch the wind."
Restroom blocked with a watermelon,"Indicates having a boil on the backside preventing defecation, with the watermelon likened to the boil due to its skin and water content."
Washing in a bathhouse with a star falling on the head and cutting it,"Suggests a vessel in the bathhouse falling on the head, as the vessel is compared to the star due to its round and shiny appearance."
Stick [Ã¢ÂÂAsaa] in oneÃ¢ÂÂs hand and annoying people with it,Symbolizes a sinner [Ã¢ÂÂAasin] who mistreats people.
Sick person having an inkpot [Duwaat],"Indicates recovery, as Duwaat [inkpot] is similar to DawaÃ¢ÂÂ [remedy]."
Seeing a private part [Farjan] or touching private parts during hardship,"Represents relief from hardship [Yufarraj Ã¢ÂÂAnhu], as both words are derived from Al-Faraj [relief]."
Head of Al-Qaadi Ã¢ÂÂAbd Al-Hameed ibn AbiÃ¢ÂÂl-Dunya in oneÃ¢ÂÂs lap,"Signifies gaining the leadership position of the man in the dream, and the hardship faced by him with the ruler, as the word for hardship [BuÃ¢ÂÂs] resembles the word for kiss [Baws]."
A guard kissing the right hand,"Indicates that the brother will be persecuted by the ruler, as the kiss [Al-Baws] signifies hardship [Al-BuÃ¢ÂÂs] and the right hand represents a brother."
Boy riding on a donkey,"Means being dismissed from a position, as the boy [Al-Sabiy] represents calamity [Museebah] and the donkey symbolizes oneÃ¢ÂÂs position."
Unripe grapes (Husrum) and a mat (Haseer),Suggests upcoming hard times due to the similarity of both words to Al-Hasrah (constriction).
Trees (Shajar) in oneÃ¢ÂÂs house,Indicates a fight (Mushaajarah) taking place in the house.
Key,"Pertains to someone who cannot achieve their aim, as the key symbolizes access or unlocking."
Basil (Rayhaan),"If the dreamer has crops needing watering, it indicates imminent rain, as Rayhaan (basil) can be split into Ray Haan (irrigation is imminent)."
Man building a pretty fence (Soor) on oneÃ¢ÂÂs hand,"Indicates marriage, as the fence symbolizes a bracelet [Siwaar] being put on the hand."
Man building an arch on the ear,"Suggests a man trying to deceive the dreamer with promises of buying earrings, as the arch is compared to earrings [Al-Qirt] and the promise is false."
Names 'Ali and Mansoor,"Indicates that the sultan will be victorious, and the dreamerÃ¢ÂÂs continued victory is linked to the sultanÃ¢ÂÂs prevailing, as seen through the names reflecting highness and victory and the related actions in the dream."
Another man gave a violet (purple flower),"If the dreamer has made a contract to buy goods or get married, it will be cancelled, as the word BaNafsaj (violet), if misspelled, becomes Yanfasakh (it is annulled). If given to a sick person, it indicates recovery."
Large clay vessel (Khaabiyah),"Represents asking for something and being disappointed (Takheeb), as Khaabiyah may be misspelled as KaaÃ¢ÂÂibah (disappointed). If the vessel falls into a river and sinks, it signifies that disappointment (Khaybah) has gone and the desired outcome will be achieved."
A cupper purified the dreamer,"Indicates a return to prominence and the judiciary position, as purification (Tuhoor) symbolizes prominence (Zuhoor)."
Seeing Safarjal (quince),"Represents relief from distress, as Safarjal may be misread as Baththun Yufraju li (a relief for me)."
Given a cutter (Nashaarah) for cutting paper for books,"Indicates glad tidings, as Nashaarah (cutter) may be misread as Bashaarah (glad tidings)."
Seeing Ã¢ÂÂInab (grapes) in farmland,"If in need of rain, it signifies glad tidings of rain, as Ã¢ÂÂInab (grapes) may be misread as Ghayth (help or rain)."
Stone pot (Burmah) broke,"Represents a matter that was decided but then reversed, as Burmah (stone pot) can be changed to Baramah (decided)."
Bedouin entered house and someone said they mark the leg up to the knee,"Indicates that prostitutes were brought into the house; the term Al-Ã¢ÂÂArab (Bedouin) can be changed to Al-Ã¢ÂÂUrb (women), and cutting the letter Qaf from Al-qadam (leg) results in Damm (blood)."
Beauty (Al-Jamaal) and camels (Al-Jimaal),"If a Bedouin sees his beauty coming back, it means missing camels will return, as the words differ only by a vowel."
Penis (Dhakar) cut off,"Indicates death or loss of a position, as Dhakar (penis) can be changed to Dhikr (fame), implying loss of name or position. It may also suggest the death of a child."
Nile (Al-Neel),"Represents obtaining what one desires, as changing the vowel in Al-Neel (Nile) results in Al-Nayl (obtaining)."
Lily of the valley (Sawsanah),Points to something bad (SuÃ¢ÂÂ) that will last for a year (Sanah).
"Sceptre (Sawlajaan) hit a ball, then flew and landed on the head","Indicates epilepsy, as breaking down Sawlajaan (sceptre) results in Sawljaan (control of the Jinn) hitting the head."
King gave a pair of pants (Sirwaal),"Indicates an appointment as a governor, as breaking down Sirwaal results in Sirwaaliyan (to go as a governor)."
Pants of Al-Qaadi ibn Ã¢ÂÂAbd Al-RafeeÃ¢ÂÂ cut,"Represents returning to a position from which one was dismissed, as the pants were cut."
Coffins (Tawaabeet) around neck,"Indicates death, as Tawaabeet can be mispronounced as Tawaabit, implying death (Tawaa means he died and Wabatt means definitely)."
Slave (Tawaashiyan) under armpit,"Indicates stealing something folded up, as breaking down Tawaashiyan results in Matwiyan (folded up) and ShiÃ¢ÂÂan (thing)."
